# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
31600 308.5849742967899374 2886.9119009929636377 72.568364667363596254 0 0 0 -3953.0398146755505877 -2434.5154549891940405
31650 301.90584500577665494 2859.8949801321391533 74.900471437419582799 0 0 0 -3933.1990986226501263 -2434.7636635478156677
31700 300.31151509444941894 2801.9220828774982692 69.22108253213974649 0 0 0 -3921.6396707452772716 -2472.157842853036982
31750 326.72240016238094995 2788.4390722368175375 67.606700932765022571 0 0 0 -3908.2288271560228168 -2438.5514791706273172
31800 319.52171901994239533 2817.6421775411909039 76.425886761981956852 0 0 0 -3930.6512274543447347 -2440.3420109895359928
31850 277.88102584021623898 2735.8230356852986915 67.714763395492042264 0 0 0 -3855.3788923778001845 -2464.3961119871000847
31900 298.97551991555656059 2645.3963275880628316 52.648941023538483819 0 0 0 -3798.2410371411488086 -2464.024927159283834
31950 301.90534572564160953 2764.2610183441543086 52.665087563809400706 0 0 0 -3885.8768654847717698 -2474.552313447029519
32000 316.28312363884322167 2817.4657870694550184 60.431818733046924308 0 0 0 -3881.2016580822992182 -2416.5756965182140448
32050 307.62140495314787358 2878.2215495005229968 54.685041049804567592 0 0 0 -3933.522046625952953 -2443.9593962954941162
32100 355.44859372604526015 2938.6794401435527107 50.984467800634192258 0 0 0 -4015.2186782352077898 -2450.7371426377121679
32150 309.02306785033692904 2824.0775120091238932 64.581362907674318308 0 0 0 -3905.120074595510232 -2439.3591018855750008
32200 356.93473937039129851 2812.9028037547714121 77.115915431050495954 0 0 0 -3935.4075014362947513 -2414.7389840453388388
32250 297.44030001104471239 2654.9058449798758375 74.384015737030296123 0 0 0 -3760.170255498566803 -2394.0373602983672754
32300 314.98002218250081796 2595.5615868318477624 89.52716898276580082 0 0 0 -3764.7344819169993571 -2408.3729549224508446
32350 306.49756968148386704 2605.6041810113938482 83.512019394653705717 0 0 0 -3728.0169176179661008 -2388.6379202088050988
32400 319.73314712318710917 2739.0315821567537569 75.559390070007509621 0 0 0 -3849.1188583202097107 -2419.0426714546492803
32450 324.21611737866209069 2883.7086429171417876 65.419671244240703345 0 0 0 -3951.4232402761940648 -2436.4479492458458481
32500 332.70474404588810557 2976.8597670225940419 75.163750849188915026 0 0 0 -4036.2995872401052111 -2444.6991945020345156
32550 309.66477425751457986 2865.3545902605833362 81.131289326091973635 0 0 0 -3970.3634268579153286 -2471.5107176662709207
32600 333.51754480102476919 2802.0475890348111534 77.83265344250858675 0 0 0 -3936.7170416636963637 -2460.74216571863235
